placeID,Rpayment
135110,cash
135110,VISA
135110,MasterCard-Eurocard
135110,American_Express
135110,bank_debit_cards
135109,cash
135107,cash
135107,VISA
135107,MasterCard-Eurocard
135107,American_Express
135107,bank_debit_cards
135106,cash
135106,VISA
135106,MasterCard-Eurocard
135105,cash
135104,cash
135104,VISA
135104,MasterCard-Eurocard
135103,cash
135103,VISA
135103,MasterCard-Eurocard
135102,cash
135102,VISA
135102,MasterCard-Eurocard
135102,bank_debit_cards
135101,cash
135100,cash
135099,cash
135099,VISA
135099,MasterCard-Eurocard
135098,cash
135098,VISA
135098,MasterCard-Eurocard
135098,bank_debit_cards
135097,cash
135097,VISA
135097,MasterCard-Eurocard
135097,bank_debit_cards
135094,cash
135093,cash
135093,bank_debit_cards
135092,cash
135091,cash
135091,VISA
135091,MasterCard-Eurocard
135090,cash
135089,cash
135089,VISA
135089,MasterCard-Eurocard
135089,bank_debit_cards
135088,cash
135086,cash
135086,VISA
135086,MasterCard-Eurocard
135085,cash
135084,cash
135084,VISA
135084,MasterCard-Eurocard
135082,cash
135081,cash
135081,VISA
135081,MasterCard-Eurocard
135080,cash
135080,VISA
135080,MasterCard-Eurocard
135080,American_Express
135079,cash
135079,American_Express
135078,cash
135078,VISA
135078,MasterCard-Eurocard
135077,cash
135076,cash
135076,VISA
135076,MasterCard-Eurocard
135076,American_Express
135075,cash
135074,cash
135074,VISA
135074,MasterCard-Eurocard
135073,cash
135073,VISA
135073,MasterCard-Eurocard
135072,cash
135072,VISA
135072,MasterCard-Eurocard
135072,American_Express
135071,cash
135071,VISA
135071,MasterCard-Eurocard
135071,American_Express
135070,cash
135069,cash
135068,cash
135068,VISA
135068,MasterCard-Eurocard
135067,cash
135067,VISA
135067,MasterCard-Eurocard
135066,cash
135066,VISA
135066,MasterCard-Eurocard
135065,cash
135065,VISA
135065,MasterCard-Eurocard
135065,American_Express
135064,cash
135064,VISA
135064,MasterCard-Eurocard
135063,cash
135062,cash
135061,cash
135061,VISA
135061,MasterCard-Eurocard
135061,American_Express
135060,cash
135059,cash
135058,cash
135058,VISA
135058,MasterCard-Eurocard
135057,cash
135057,VISA
135057,MasterCard-Eurocard
135057,American_Express
135056,cash
135055,cash
135055,VISA
135055,MasterCard-Eurocard
135055,American_Express
135054,cash
135054,VISA
135054,MasterCard-Eurocard
135053,cash
135053,VISA
135053,MasterCard-Eurocard
135053,American_Express
135052,cash
135052,VISA
135052,MasterCard-Eurocard
135051,cash
135050,cash
135050,VISA
135050,MasterCard-Eurocard
135050,American_Express
135049,cash
135048,cash
135048,VISA
135048,MasterCard-Eurocard
135048,American_Express
135047,cash
135047,VISA
135047,MasterCard-Eurocard
135046,cash
135046,VISA
135046,MasterCard-Eurocard
135045,cash
135045,VISA
135045,MasterCard-Eurocard
135045,American_Express
135044,cash
135043,cash
135042,cash
135041,cash
135040,cash
135040,VISA
135040,MasterCard-Eurocard
135039,cash
135038,cash
135037,cash
135037,VISA
135037,MasterCard-Eurocard
135036,cash
135035,cash
135035,VISA
135035,MasterCard-Eurocard
135035,American_Express
135034,cash
135034,VISA
135034,MasterCard-Eurocard
135034,American_Express
135033,cash
135033,VISA
135033,MasterCard-Eurocard
135033,American_Express
135032,cash
135032,VISA
135032,MasterCard-Eurocard
135031,cash
135031,VISA
135031,MasterCard-Eurocard
135030,cash
135029,cash
135029,VISA
135029,MasterCard-Eurocard
135029,American_Express
135028,cash
135028,VISA
135028,MasterCard-Eurocard
135028,American_Express
135027,cash
135027,VISA
135027,MasterCard-Eurocard
135027,American_Express
135025,cash
135025,VISA
135025,MasterCard-Eurocard
135025,American_Express
135024,cash
135024,VISA
135024,MasterCard-Eurocard
135024,American_Express
135023,cash
135022,cash
135021,cash
135018,cash
135018,VISA
135018,MasterCard-Eurocard
135018,bank_debit_cards
135017,cash
135016,cash
135015,cash
135014,cash
135013,cash
135012,cash
135011,cash
135010,cash
135009,cash
135008,cash
135008,VISA
135008,MasterCard-Eurocard
135008,American_Express
135007,VISA
135007,MasterCard-Eurocard
135007,American_Express
135006,cash
135006,VISA
135006,MasterCard-Eurocard
135006,American_Express
135005,cash
135004,cash
135004,VISA
135004,MasterCard-Eurocard
135003,cash
135002,VISA
135002,MasterCard-Eurocard
135002,American_Express
135001,cash
135001,VISA
135001,MasterCard-Eurocard
135001,American_Express
135000,cash
134998,cash
134996,cash
134995,cash
134994,cash
134994,VISA
134994,MasterCard-Eurocard
134993,cash
134993,VISA
134993,MasterCard-Eurocard
134993,American_Express
134992,cash
134992,VISA
134992,MasterCard-Eurocard
134991,cash
134991,VISA
134991,MasterCard-Eurocard
134991,American_Express
134990,cash
134989,cash
134989,VISA
134989,MasterCard-Eurocard
134989,American_Express
134988,VISA
134988,MasterCard-Eurocard
134988,American_Express
134987,cash
134985,VISA
134985,MasterCard-Eurocard
134985,American_Express
134984,cash
134984,VISA
134984,MasterCard-Eurocard
134983,cash
134983,VISA
134983,MasterCard-Eurocard
134982,cash
134981,cash
134980,cash
134978,cash
134978,VISA
134978,MasterCard-Eurocard
134977,cash
134977,VISA
134977,MasterCard-Eurocard
134976,VISA
134976,MasterCard-Eurocard
134976,American_Express
134976,checks
134975,cash
134975,VISA
134975,MasterCard-Eurocard
134975,Discover
134974,cash
134974,VISA
134974,MasterCard-Eurocard
134973,cash
134973,VISA
134973,MasterCard-Eurocard
134972,cash
134972,VISA
134972,MasterCard-Eurocard
134971,cash
134971,VISA
134971,MasterCard-Eurocard
134970,cash
134970,VISA
134970,MasterCard-Eurocard
134970,checks
133049,cash
133048,cash
133047,cash
133043,cash
133043,VISA
133043,MasterCard-Eurocard
133043,bank_debit_cards
133038,cash
133037,cash
133036,cash
133035,cash
133034,cash
133033,cash
133033,VISA
133033,MasterCard-Eurocard
133033,American_Express
133032,cash
133031,cash
133030,cash
133030,VISA
133030,bank_debit_cards
133029,cash
133028,cash
133027,cash
133027,MasterCard-Eurocard
133027,American_Express
133026,cash
133026,bank_debit_cards
133020,cash
133014,cash
133009,cash
133008,cash
133007,cash
132996,cash
132995,cash
132994,cash
132993,cash
132986,cash
132985,cash
132984,cash
132983,cash
132982,cash
132981,cash
132980,cash
132979,cash
132978,cash
132977,cash
132976,cash
132975,cash
132974,cash
132973,cash
132972,cash
132971,cash
132970,cash
132969,cash
132968,cash
132967,cash
132966,cash
132965,cash
132964,cash
132963,cash
132962,cash
132961,cash
132960,cash
132959,cash
132958,cash
132958,VISA
132958,MasterCard-Eurocard
132958,American_Express
132958,bank_debit_cards
132957,cash
132957,VISA
132957,MasterCard-Eurocard
132957,bank_debit_cards
132956,cash
132956,VISA
132956,MasterCard-Eurocard
132956,bank_debit_cards
132955,cash
132955,VISA
132955,MasterCard-Eurocard
132955,bank_debit_cards
132955,Carte_Blanche
132954,cash
132954,VISA
132954,MasterCard-Eurocard
132954,bank_debit_cards
132953,cash
132953,VISA
132953,American_Express
132953,bank_debit_cards
132951,cash
132950,cash
132948,cash
132947,cash
132947,VISA
132946,cash
132945,cash
132944,cash
132942,cash
132941,cash
132940,cash
132939,cash
132938,cash
132937,cash
132936,cash
132935,cash
132934,cash
132933,cash
132932,cash
132931,cash
132931,VISA
132931,MasterCard-Eurocard
132931,bank_debit_cards
132931,checks
132930,cash
132929,cash
132928,cash
132927,cash
132927,VISA
132927,MasterCard-Eurocard
132927,bank_debit_cards
132927,checks
132926,cash
132925,cash
132924,cash
132923,cash
132922,cash
132921,cash
132920,cash
132919,cash
132918,cash
132917,cash
132917,VISA
132917,MasterCard-Eurocard
132917,American_Express
132917,bank_debit_cards
132916,cash
132915,cash
132914,cash
132913,cash
132912,cash
132911,cash
132910,cash
132909,cash
132908,cash
132907,cash
132904,cash
132903,cash
132902,cash
132901,cash
132900,cash
132900,VISA
132900,MasterCard-Eurocard
132900,American_Express
132900,bank_debit_cards
132899,cash
132897,cash
132896,cash
132895,cash
132894,cash
132893,cash
132892,cash
132892,VISA
132891,cash
132890,cash
132889,cash
132888,cash
132888,VISA
132888,MasterCard-Eurocard
132887,cash
132887,VISA
132887,MasterCard-Eurocard
132887,bank_debit_cards
132886,cash
132886,VISA
132886,MasterCard-Eurocard
132886,American_Express
132885,cash
132880,cash
132880,VISA
132880,MasterCard-Eurocard
132880,bank_debit_cards
132880,Carte_Blanche
132875,cash
132875,VISA
132875,MasterCard-Eurocard
132875,American_Express
132875,bank_debit_cards
132873,cash
132873,VISA
132873,MasterCard-Eurocard
132873,American_Express
132873,bank_debit_cards
132872,cash
132872,bank_debit_cards
132871,cash
132870,cash
132869,cash
132868,cash
132867,cash
132866,cash
132865,cash
132864,cash
132863,cash
132863,VISA
132863,MasterCard-Eurocard
132863,American_Express
132863,bank_debit_cards
132862,cash
132862,VISA
132862,MasterCard-Eurocard
132862,American_Express
132862,bank_debit_cards
132861,cash
132861,VISA
132861,MasterCard-Eurocard
132861,American_Express
132861,bank_debit_cards
132860,cash
132860,VISA
132860,MasterCard-Eurocard
132860,American_Express
132860,bank_debit_cards
132859,cash
132859,VISA
132859,MasterCard-Eurocard
132859,American_Express
132859,bank_debit_cards
132858,cash
132857,cash
132857,VISA
132857,bank_debit_cards
132856,cash
132855,cash
132854,cash
132854,VISA
132854,bank_debit_cards
132853,cash
132852,cash
132851,cash
132850,cash
132849,cash
132848,cash
132847,cash
132846,cash
132845,cash
132843,cash
132842,cash
132841,cash
132840,cash
132837,cash
132836,cash
132835,cash
132835,VISA
132835,MasterCard-Eurocard
132835,American_Express
132835,bank_debit_cards
132834,cash
132829,cash
132828,cash
132827,cash
132826,cash
132826,VISA
132826,MasterCard-Eurocard
132826,bank_debit_cards
132825,cash
132824,cash
132824,bank_debit_cards
132821,cash
132820,cash
132820,bank_debit_cards
132819,cash
132817,cash
132815,cash
132811,cash
132811,VISA
132811,MasterCard-Eurocard
132810,cash
132809,cash
132808,cash
132808,VISA
132808,MasterCard-Eurocard
132807,cash
132807,VISA
132807,MasterCard-Eurocard
132806,cash
132806,VISA
132806,MasterCard-Eurocard
132806,bank_debit_cards
132805,cash
132804,cash
132804,VISA
132804,MasterCard-Eurocard
132804,American_Express
132803,cash
132802,cash
132802,American_Express
132802,bank_debit_cards
132801,cash
132801,bank_debit_cards
132799,cash
132799,American_Express
132799,bank_debit_cards
132798,cash
132797,cash
132797,bank_debit_cards
132796,cash
132796,VISA
132796,MasterCard-Eurocard
132796,American_Express
132795,cash
132795,MasterCard-Eurocard
132795,American_Express
132794,cash
132793,cash
132793,VISA
132793,MasterCard-Eurocard
132793,American_Express
132793,bank_debit_cards
132792,cash
132792,VISA
132792,American_Express
132792,bank_debit_cards
132791,cash
132791,VISA
132791,MasterCard-Eurocard
132791,American_Express
132791,bank_debit_cards
132790,cash
132790,VISA
132790,MasterCard-Eurocard
132790,American_Express
132790,bank_debit_cards
132789,cash
132789,VISA
132789,American_Express
132789,bank_debit_cards
132788,cash
132788,VISA
132788,American_Express
132787,cash
132787,VISA
132787,American_Express
132787,bank_debit_cards
132786,cash
132786,VISA
