placeID,Rcuisine
135110,Spanish
135109,Italian
135107,Latin_American
135106,Mexican
135105,Fast_Food
135104,Mexican
135103,Burgers
135103,Dessert-Ice_Cream
135103,Fast_Food
135103,Hot_Dogs
135102,Latin_American
135102,Mexican
135102,Steaks
135101,Mexican
135101,Steaks
135100,Mexican
135100,Steaks
135099,Asian
135099,Dessert-Ice_Cream
135099,International
135099,Mongolian
135099,Steaks
135099,Vegetarian
135098,Brazilian
135098,International
135098,Latin_American
135098,Steaks
135097,Cafe-Coffee_Shop
135097,Cafeteria
135097,Contemporary
135097,Deli-Sandwiches
135097,Diner
135097,Mexican
135094,Mexican
135093,Mexican
135092,Cafeteria
135092,Mexican
135091,Japanese
135091,Sushi
135090,Mexican
135089,Seafood
135088,Cafeteria
135086,Burgers
135086,Fast_Food
135085,Fast_Food
135079,Chinese
135075,Seafood
135074,Contemporary
135073,Bar
135073,Bar_Pub_Brewery
135072,Japanese
135071,Bar
135071,Bar_Pub_Brewery
135069,Bar
135061,Contemporary
135060,Seafood
135059,Bar
135058,Pizzeria
135057,Bar
135056,Bar
135055,Mexican
135054,Seafood
135053,Cafeteria
135053,Fast_Food
135053,Pizzeria
135052,Bar
135052,Bar_Pub_Brewery
135049,Seafood
135048,Bar
135046,Fast_Food
135044,Chinese
135043,Fast_Food
135043,Pizzeria
135042,Chinese
135041,Bar
135041,Cafeteria
135039,Seafood
135037,Mexican
135036,Bar
135035,Italian
135034,Japanese
135032,Cafeteria
135032,Contemporary
135031,Seafood
135030,Cafe-Coffee_Shop
135030,Cafeteria
135029,Bar
135029,Bar_Pub_Brewery
135028,Mexican
135027,Mexican
135026,Bar
135026,Bar_Pub_Brewery
135025,Mexican
135022,Mexican
135021,Fast_Food
135020,Bar
135020,Mexican
135019,Bar
135018,Mexican
135008,Contemporary
135007,Bar
135007,Bar_Pub_Brewery
135007,Mexican
135005,Mexican
135004,Bar
135004,Bar_Pub_Brewery
135003,Chinese
135002,Mexican
134999,Japanese
134997,Bar
134997,Cafe-Coffee_Shop
134997,Cafeteria
134990,Bar
134990,Bar_Pub_Brewery
134989,Mexican
134988,Mediterranean
134986,International
134985,Mexican
134984,Italian
134983,Bar
134983,Bar_Pub_Brewery
134982,Bar
134982,Bar_Pub_Brewery
134981,Italian
134980,Seafood
134976,Mexican
134976,Mediterranean
134976,Burgers
134973,Mexican
134972,Cafe-Coffee_Shop
134972,Cafeteria
134971,Mexican
133049,Latin_American
133048,Mexican
133047,American
133043,International
133039,Family
133038,Cafeteria
133037,Mexican
133036,Family
133035,Caribbean
133034,Mexican
133033,American
133032,Mexican
133031,Mexican
133030,Family
133029,Bar
133028,Mexican
133027,Cafeteria
133026,Family
133020,American
133014,Contemporary
133010,Italian
133009,American
133008,American
133007,American
133000,Family
132996,Mexican
132995,American
132994,American
132993,Mexican
132992,American
132986,Mexican
132985,Mexican
132980,Mexican
132973,Mexican
132972,Mexican
132971,Mexican
132970,American
132969,Bar
132968,Bar
132967,Bar
132966,Bar
132965,Bar
132964,Bar
132963,Mexican
132962,Burgers
132962,Hot_Dogs
132961,Mexican
132960,Mexican
132959,Mexican
132958,American
132957,American
132956,African
132955,Bar_Pub_Brewery
132954,Breakfast-Brunch
132953,Mexican
132951,American
132950,Mexican
132948,Mexican
132947,Mexican
132946,Mexican
132945,Mexican
132943,Mexican
132942,Mexican
132941,Mexican
132940,Burgers
132939,Mexican
132938,Mexican
132937,Bar
132936,Mexican
132935,Mexican
132934,Mexican
132933,American
132932,Mexican
132930,Mexican
132929,Mexican
132928,Mexican
132927,Mexican
132926,Mexican
132925,Mexican
132924,Pizzeria
132923,Family
132922,Cafeteria
132921,Bar
132920,Mexican
132919,Mexican
132918,Mexican
132917,American
132917,Mexican
132916,American
132915,Mexican
132914,Mexican
132913,Mexican
132912,Mexican
132911,Mexican
132910,Mexican
132909,Mexican
132908,Mexican
132907,Mexican
132906,Mexican
132904,Mexican
132903,Mexican
132902,Mexican
132901,Regional
132900,Mexican
132899,Mexican
132897,Mexican
132896,Mexican
132895,Mexican
132894,Mexican
132893,Mexican
132892,Chinese
132891,Mexican
132890,Mexican
132889,Mexican
132888,Afghan
132887,Italian
132886,American
132885,Cafeteria
132875,Japanese
132873,American
132872,American
132871,Mexican
132870,Burgers
132869,Pizzeria
132868,Mexican
132867,Bar
132867,Mexican
132866,Bakery
132866,Cafeteria
132865,Mexican
132864,Mexican
132863,International
132862,International
132861,Burgers
132860,International
132859,International
132858,Burgers
132857,International
132856,Italian
132855,Mexican
132854,International
132853,Fast_Food
132852,Latin_American
132852,Mexican
132851,American
132851,Game
132846,International
132845,Mexican
132843,Mexican
132842,Mexican
132841,Mexican
132840,Mexican
132839,Mexican
132838,Mexican
132837,Mexican
132836,Mexican
132835,Mexican
132834,Mexican
132833,Mexican
132829,Mexican
132828,Mexican
132827,Mexican
132825,Mexican
132811,International
132810,Vegetarian
132807,Cafeteria
132806,Mexican
132805,Mexican
132804,Bar
132803,Chinese
132802,Chinese
132801,Mexican
132799,Armenian
132798,Mexican
132797,Cafeteria
132796,American
132795,American
132794,Vegetarian
132793,Mexican
132792,International
132791,Mexican
132790,International
132789,Mexican
132788,American
132787,International
132786,International
132785,Mexican
132784,Italian
132783,International
132782,Family
132781,Mexican
132779,Mexican
132778,Mexican
132777,Mexican
132776,Mexican
132775,Mexican
132774,American
132774,Bakery
132774,Breakfast-Brunch
132774,Burgers
132774,Cafe-Coffee_Shop
132774,Cafeteria
132774,Diner
132774,Family
132774,Mexican
132773,Family
132773,Mexican
132772,Mexican
132771,Japanese
132770,Spanish
132769,Mexican
132768,Family
132767,Vietnamese
132766,Japanese
132765,Mexican
132764,Mexican
132763,Mexican
132761,Mexican
132760,Mexican
132758,Mexican
132757,Mexican
132756,Italian
132755,Mexican
132754,Mexican
132753,Mexican
132752,Cafeteria
132751,Burgers
132750,Burgers
132749,Mexican
132748,Mexican
132747,Chinese
132746,Mexican
132745,American
132744,Mexican
132743,Mexican
132742,Mexican
132741,Mexican
132740,Mexican
132739,Mexican
132738,Hot_Dogs
132737,Mexican
132736,Korean
132735,Mexican
