DIRECTORIO,HOGAR_NUMERO,PERSONA_NUMERO,edad,sexo
43678,1,1,40,2
43709,1,4,24,2
43721,1,1,42,1
43764,1,1,36,1
43908,1,1,48,1
43913,1,2,29,2
43928,1,1,64,1
43967,1,2,31,2
44010,1,1,35,1
44114,1,2,34,2
44123,1,1,65,1
44124,1,1,70,2
44140,1,1,50,1
44144,1,4,42,1
44145,1,2,66,2
44189,1,1,48,1
44191,1,1,47,1
44197,1,1,64,1
44212,1,2,42,1
44254,1,4,19,2
44303,1,2,25,2
44305,1,1,44,1
44309,1,2,22,2
44312,1,1,49,2
44313,1,1,41,2
44408,1,1,53,1
44433,1,1,64,2
44444,1,1,35,2
44447,1,1,33,1
44450,1,3,26,1
44472,1,1,37,2
44560,1,2,20,2
44577,1,1,47,1
44618,1,3,50,2
44637,1,1,80,1
44653,1,1,44,2
44659,1,3,53,2
44694,1,2,48,2
44753,1,3,19,2
44772,1,2,35,2
44785,1,1,38,1
44820,1,5,25,2
44844,1,2,27,2
44855,1,6,19,2
44883,1,2,22,2
44909,1,2,24,1
44934,1,2,65,2
44963,1,2,49,2
45016,1,2,77,1
45032,1,2,27,2
45047,1,1,45,1
45054,1,2,60,2
45063,1,2,82,2
45099,1,1,48,1
45131,1,3,27,2
45183,1,1,41,1
45207,1,1,21,2
45246,1,2,18,2
45251,1,1,40,2
45269,1,3,27,2
45323,1,1,31,1
45328,1,3,39,1
45336,1,2,56,2
45346,1,4,20,2
45376,1,2,57,1
45405,1,6,34,1
45490,1,2,27,2
45559,1,1,36,1
45566,1,2,45,2
45569,1,2,44,2
45577,1,2,50,2
45581,1,3,29,2
45628,1,1,24,1
45654,1,2,32,1
45668,1,3,28,1
45673,1,2,19,2
45751,1,5,52,2
45780,1,1,48,2
45889,1,2,23,2
45910,1,1,25,2
46015,1,1,73,1
46020,1,2,50,2
46024,1,2,74,1
46036,1,3,55,2
46051,1,1,57,2
46221,1,1,64,1
46229,1,2,44,2
46236,1,2,47,2
46262,1,3,60,2
46353,1,2,57,2
46363,1,1,30,2
46369,1,1,72,2
46446,1,2,35,2
46536,1,2,25,1
46580,1,2,33,2
46708,1,1,60,1
46722,1,1,49,1
46734,1,2,51,2
46738,1,6,63,1
46769,1,2,38,1
46801,1,1,79,2
46836,1,2,31,1
46837,1,1,49,1
46843,1,2,41,2
46856,1,2,60,2
46925,1,3,21,2
47032,1,1,32,1
47061,1,2,33,2
47091,1,1,67,1
47100,1,2,25,1
47148,1,1,72,2
47206,1,1,55,1
47212,1,1,22,1
47283,1,1,29,1
47323,1,3,32,2
47343,1,6,19,2
47405,1,2,39,2
47419,1,1,91,1
47432,1,2,33,1
47542,1,1,43,1
47550,1,4,18,2
47559,1,1,30,1
47577,1,1,22,1
47599,1,2,32,2
47606,1,4,40,2
47623,1,1,36,1
47643,1,1,33,1
47651,1,1,42,2
47674,1,1,48,1
47689,1,1,66,1
47708,1,1,25,1
47747,1,1,42,1
47779,1,1,64,2
47873,1,2,50,1
47875,1,2,37,2
47900,1,2,49,2
47907,1,2,24,2
47918,1,1,58,2
47946,1,1,53,1
48076,1,1,72,1
48092,1,1,73,2
48117,1,8,73,1
48224,1,1,45,1
48269,1,2,39,2
48354,1,1,47,1
48365,1,2,41,2
48396,1,1,48,2
48413,1,1,65,2
48431,1,5,63,1
48489,1,1,75,1
48489,1,2,74,2
48533,1,1,72,2
48562,1,2,88,2
48576,1,1,24,2
48590,1,2,25,2
48607,1,2,49,2
48620,1,3,20,1
48631,1,2,39,2
48649,1,1,54,1
48659,1,2,43,2
48694,1,3,28,2
48707,1,4,37,1
48723,1,1,41,1
48725,1,1,39,2
48737,1,1,38,2
48743,1,1,40,2
48798,1,2,19,2
48814,1,1,58,1
48817,1,2,28,2
48819,1,1,76,2
48856,1,1,40,2
48871,1,4,53,2
48875,1,1,43,1
48884,1,1,27,1
48891,1,1,39,1
49027,1,1,57,2
49145,1,1,65,1
49148,1,5,31,2
49175,1,2,46,1
49176,1,4,26,1
49258,1,5,74,2
49309,1,1,41,1
49366,1,2,56,1
49368,1,3,45,1
49387,1,1,49,1
49400,1,1,45,1
49451,1,2,51,1
49453,1,1,70,1
49466,1,2,27,2
49476,1,1,59,1
49522,1,2,65,2
49532,1,4,48,1
49538,1,1,52,1
49545,1,1,54,2
49557,1,1,53,1
49562,1,3,29,2
49608,1,2,29,1
49614,1,3,23,2
49620,1,1,37,1
49800,1,3,45,2
49805,1,2,36,1
49849,1,2,38,1
49863,1,1,67,1
49874,1,1,56,2
49877,1,1,78,2
49878,1,1,27,1
49926,1,2,36,1
49927,1,1,36,1
50045,1,5,67,2
50073,1,1,43,1
50156,1,1,27,1
50304,1,4,20,1
50331,1,3,35,2
50402,1,4,19,2
50501,1,3,22,2
50516,1,1,38,1
50617,1,2,51,1
50618,1,3,21,1
50747,1,1,65,2
50775,1,1,58,1
50777,1,2,41,1
50841,1,2,53,2
50875,1,2,43,2
50918,1,1,49,1
51350,1,2,24,1
51830,1,1,74,2
51857,1,1,69,2
51881,1,2,37,2
51920,1,3,21,1
51939,1,1,68,2
51951,1,1,77,2
51969,1,1,49,1
52156,1,1,37,2
52227,1,3,20,2
52234,1,2,50,2
52261,1,2,23,1
52309,1,1,53,1
52375,1,3,20,2
52378,1,1,41,1
52380,1,2,51,2
52431,1,1,52,2
52439,1,2,59,2
52491,1,1,22,1
52497,1,2,25,1
52697,1,2,35,1
52877,1,1,28,1
52914,1,1,27,1
52920,1,1,37,1
52940,1,1,32,2
53216,1,1,50,2
