placeID,hours,days
135111,00:00-23:30;,Mon;Tue;Wed;Thu;Fri;
135111,00:00-23:30;,Sat;
135111,00:00-23:30;,Sun;
135110,08:00-19:00;,Mon;Tue;Wed;Thu;Fri;
135110,00:00-00:00;,Sat;
135110,00:00-00:00;,Sun;
135109,08:00-21:00;,Mon;Tue;Wed;Thu;Fri;
135109,08:00-21:00;,Sat;
135109,08:00-21:00;,Sun;
135108,00:00-23:30;,Mon;Tue;Wed;Thu;Fri;
135108,00:00-23:30;,Sat;
135108,00:00-23:30;,Sun;
135107,07:00-23:30;,Mon;Tue;Wed;Thu;Fri;
135107,07:00-23:30;,Sat;
135107,07:00-23:30;,Sun;
135106,18:00-23:30;,Mon;Tue;Wed;Thu;Fri;
135106,18:00-23:30;,Sat;
135106,18:00-21:00;,Sun;
135105,00:00-23:30;,Mon;Tue;Wed;Thu;Fri;
135105,20:30-23:30;,Sat;
135105,00:00-23:30;,Sun;
135104,00:00-23:30;,Mon;Tue;Wed;Thu;Fri;
135104,00:00-23:30;,Sat;
135104,00:00-23:30;,Sun;
135103,12:00-22:00;,Mon;Tue;Wed;Thu;Fri;
135103,12:00-23:00;,Sat;
135103,12:00-22:00;,Sun;
135102,09:00-23:00;,Mon;Tue;Wed;Thu;Fri;
135102,09:00-01:00;,Sat;
135102,09:00-22:00;,Sun;
135101,13:00-08:00;,Mon;Tue;Wed;Thu;Fri;
135101,13:00-08:00;,Sat;
135101,13:00-08:00;,Sun;
135100,14:00-23:30;,Mon;Tue;Wed;Thu;Fri;
135100,14:00-23:30;,Sat;
135100,14:00-23:30;,Sun;
135099,13:00-23:00;,Mon;Tue;Wed;Thu;Fri;
135099,13:00-00:00;,Sat;
135099,13:00-22:00;,Sun;
135098,13:00-23:30;,Mon;Tue;Wed;Thu;Fri;
135098,13:00-00:30;,Sat;
135098,13:00-01:00;,Sun;
135097,10:00-23:30;,Mon;Tue;Wed;Thu;Fri;
135097,10:00-23:30;,Sat;
135097,11:00-23:30;,Sun;
135094,11:00-23:30;,Mon;Tue;Wed;Thu;Fri;
135094,11:00-23:30;,Sat;
135094,11:00-22:00;,Sun;
135093,12:00-22:00;,Mon;Tue;Wed;Thu;Fri;
135093,12:00-22:00;,Sat;
135093,12:00-22:00;,Sun;
135092,09:00-17:00;,Mon;Tue;Wed;Thu;Fri;
135092,09:00-13:00;,Sat;
135092,00:00-23:30;,Sun;
135091,11:00-21:00;,Mon;Tue;Wed;Thu;Fri;
135091,11:00-21:00;,Sat;
135091,11:00-21:00;,Sun;
135090,07:00-00:00;,Mon;Tue;Wed;Thu;Fri;
135090,07:00-00:00;,Sat;
135090,07:00-00:00;,Sun;
135089,13:00-20:00;,Mon;Tue;Wed;Thu;Fri;
135089,13:00-20:00;,Sat;
135089,13:00-20:00;,Sun;
135088,09:00-16:00;,Mon;Tue;Wed;Thu;Fri;
135088,00:00-00:00;,Sat;
135088,00:00-00:00;,Sun;
135086,08:00-23:00;,Mon;Tue;Wed;Thu;Fri;
135086,08:00-23:00;,Sat;
135086,08:00-23:00;,Sun;
135085,00:00-00:00;,Mon;Tue;Wed;Thu;Fri;
135085,00:00-00:00;,Sat;
135085,00:00-00:00;,Sun;
135084,11:00-23:00;,Mon;Tue;Wed;Thu;Fri;
135084,11:00-23:00;,Sat;
135084,11:00-23:00;,Sun;
135082,10:00-18:00;,Mon;Tue;Wed;Thu;Fri;
135082,10:00-18:00;,Sat;
135082,10:00-18:00;,Sun;
135081,14:00-23:30;,Mon;Tue;Wed;Thu;Fri;
135081,14:00-23:30;,Sat;
135081,14:00-23:30;,Sun;
135080,14:00-23:30;,Mon;Tue;Wed;Thu;Fri;
135080,14:00-23:30;,Sat;
135080,14:00-23:30;,Sun;
135079,13:00-22:30;,Mon;Tue;Wed;Thu;Fri;
135079,13:30-22:30;,Sat;
135079,13:30-22:30;,Sun;
135078,14:00-20:00;,Mon;Tue;Wed;Thu;Fri;
135078,14:00-20:00;,Sat;
135078,14:00-20:00;,Sun;
135077,06:00-18:00;,Mon;Tue;Wed;Thu;Fri;
135077,00:00-00:00;,Sat;
135077,00:00-23:30;,Sun;
135076,12:00-23:30;,Mon;Tue;Wed;Thu;Fri;
135076,12:00-23:30;,Sat;
135076,12:00-23:30;,Sun;
135075,00:00-23:30;,Mon;Tue;Wed;Thu;Fri;
135075,00:00-23:30;,Sat;
135075,00:00-23:30;,Sun;
135074,07:00-23:30;,Mon;Tue;Wed;Thu;Fri;
135074,07:00-23:30;,Sat;
135074,07:00-23:30;,Sun;
135073,09:30-23:30;,Mon;Tue;Wed;Thu;Fri;
135073,09:30-23:30;,Sat;
135073,00:00-00:00;,Sun;
135072,13:00-23:00;,Mon;Tue;Wed;Thu;Fri;
135072,13:00-23:30;,Sat;
135072,13:00-22:00;,Sun;
135071,13:00-23:30;,Mon;Tue;Wed;Thu;Fri;
135071,13:00-23:30;,Sat;
135071,13:00-20:00;,Sun;
135070,07:00-23:00;,Mon;Tue;Wed;Thu;Fri;
135070,07:00-23:00;,Sat;
135070,07:00-23:00;,Sun;
135069,09:00-23:30;,Mon;Tue;Wed;Thu;Fri;
135069,09:00-23:30;,Sat;
135069,09:00-23:30;,Sun;
135068,12:00-23:30;,Mon;Tue;Wed;Thu;Fri;
135068,12:00-23:30;,Sat;
135068,00:00-00:00;,Sun;
135067,12:00-23:00;,Mon;Tue;Wed;Thu;Fri;
