placeID,parking_lot
135111,public
135110,none
135109,none
135108,none
135107,none
135106,none
135105,none
135104,yes
135103,valet parking
135102,valet parking
135101,public
135100,none
135099,valet parking
135098,valet parking
135097,yes
135094,public
135093,yes
135092,none
135091,fee
135090,public
135089,yes
135088,public
135086,yes
135085,public
135084,yes
135082,none
135081,none
135080,none
135079,none
135078,yes
135077,yes
135076,yes
135075,yes
135074,public
135073,yes
135072,none
135071,yes
135070,yes
135069,yes
135068,yes
135067,none
135066,yes
135065,none
135064,yes
135063,none
135062,yes
135061,yes
135060,none
135059,yes
135058,public
135057,yes
135056,none
135055,yes
135054,yes
135053,yes
135052,none
135051,none
135050,yes
135049,none
135048,yes
135047,yes
135046,yes
135045,yes
135044,none
135043,none
135042,none
135041,none
135040,yes
135039,yes
135038,none
135037,yes
135036,yes
135035,yes
135034,none
135033,none
135032,public
135031,yes
135030,none
135029,none
135028,none
135027,none
135026,none
135025,none
135024,yes
135023,none
135022,none
135021,public
135020,yes
135019,none
135018,yes
135017,none
135016,none
135015,none
135014,none
135013,none
135012,none
135011,none
135010,none
135009,none
135008,yes
135007,none
135006,yes
135005,none
135004,none
135003,yes
135002,none
135001,yes
135000,none
134999,none
134998,yes
134997,none
134996,yes
134995,none
134994,none
134993,none
134992,yes
134991,yes
134990,yes
134989,yes
134988,valet parking
134987,none
134986,yes
134985,yes
134984,yes
134983,yes
134982,none
134981,none
134980,none
134979,none
134978,yes
134977,yes
134976,yes
134975,valet parking
134974,yes
134973,none
134972,none
134971,yes
134970,yes
133049,yes
133048,yes
133047,yes
133043,yes
133042,none
133041,none
133040,none
133039,none
133038,none
133037,none
133036,none
133035,public
133034,none
133033,none
133032,none
133031,none
133030,none
133029,yes
133028,none
133027,none
133026,none
133025,none
133024,none
133023,none
133022,none
133021,none
133020,none
133019,none
133018,none
133017,none
133016,none
133015,none
133014,public
133013,none
133012,none
133011,none
133010,yes
133009,yes
133008,yes
133007,none
133006,none
133005,none
133004,none
133003,none
133002,none
133001,none
133000,none
132999,none
132998,none
132997,public
132996,none
132995,none
132994,none
132993,none
132992,none
132986,none
132985,none
132984,none
132983,none
132982,none
132981,none
132980,none
132979,none
132978,none
132977,none
132976,none
132975,none
132974,none
132973,none
132972,none
132971,none
132970,none
132969,public
132968,yes
132967,public
132966,public
132965,public
132964,none
132963,none
132962,none
132961,none
132960,yes
132959,none
132958,none
132957,none
132956,none
132955,none
132954,yes
132953,yes
132951,yes
132950,none
132948,none
132947,none
132946,public
132945,none
132944,none
132943,public
132942,none
132941,none
132940,none
132939,none
132938,none
132937,none
132936,none
132935,none
132934,none
132933,none
132932,public
132931,none
132930,none
132929,public
132928,none
132927,none
132926,none
132925,none
132924,none
132923,none
132922,none
132921,none
132920,none
132919,none
132918,none
132917,none
132916,none
132915,none
132914,none
132913,none
132912,none
132911,none
132910,none
132909,public
132908,none
132907,none
132906,none
132905,none
132904,none
132903,none
132902,none
132901,none
132900,public
132899,none
132898,none
132897,none
132896,none
132895,none
132894,none
132893,none
132892,yes
132891,none
132890,none
132889,none
132888,yes
